Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,506
design__inferred_latch__count,0
design__instance__count,82461
design__instance__area,9.68352E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,179
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,169
design__max_cap_violation__count__corner:nom_tt_025C_1v80,11
power__internal__total,0.0012660613283514977
power__switching__total,0.000800419133156538
power__leakage__total,1.9129866757339187E-7
power__total,0.002066671848297119
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-1.2152738048754113
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.8968378515896007
timing__hold__ws__corner:nom_tt_025C_1v80,1.4157848627525604
timing__setup__ws__corner:nom_tt_025C_1v80,31.569833862891226
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,1.415785
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,31.569834
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,402
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,169
design__max_cap_violation__count__corner:nom_ss_100C_1v60,20
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.9504167721841164
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.3807319012270074
timing__hold__ws__corner:nom_ss_100C_1v60,2.8743956917128175
timing__setup__ws__corner:nom_ss_100C_1v60,23.977405628542236
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,2.874396
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,23.977406
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,114
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,169
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,6
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.8592035104364854
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.6827538727633308
timing__hold__ws__corner:nom_ff_n40C_1v95,0.9230023673286224
timing__setup__ws__corner:nom_ff_n40C_1v95,33.98005528688774
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.923002
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,33.980057
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,811
design__max_fanout_violation__count,169
design__max_cap_violation__count,21
clock__skew__worst_hold,-0.7706359657425133
clock__skew__worst_setup,0.6118984936382553
timing__hold__ws,0.9195069410590351
timing__setup__ws,23.475250852123953
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.919507
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,23.475250
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 3166.63 4766.63
design__core__bbox,40.02 40.8 3126.62 4724.64
design__io,887
design__die__area,1.50942E+7
design__core__area,1.44571E+7
design__instance__count__stdcell,82457
design__instance__area__stdcell,191910
design__instance__count__macros,4
design__instance__area__macros,9.49161E+6
design__instance__utilization,0.669809
design__instance__utilization__stdcell,0.0386485
design__instance__count__class:macro,4
design__instance__count__class:buffer,559
design__instance__count__class:inverter,33
design__instance__count__class:sequential_cell,869
design__instance__count__class:multi_input_combinational_cell,1864
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,475164
design__instance__count__class:tap_cell,68517
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1.39737E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,3690
design__instance__count__class:clock_buffer,88
design__instance__count__class:clock_inverter,60
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,21
antenna__violating__pins,27
route__antenna_violation__count,21
design__instance__count__class:antenna_cell,6777
antenna_diodes_count,384
route__net,7521
route__net__special,16
route__drc_errors__iter:1,10683
route__wirelength__iter:1,1575833
route__drc_errors__iter:2,4193
route__wirelength__iter:2,1570297
route__drc_errors__iter:3,3405
route__wirelength__iter:3,1568874
route__drc_errors__iter:4,214
route__wirelength__iter:4,1575901
route__drc_errors__iter:5,16
route__wirelength__iter:5,1574347
route__drc_errors__iter:6,7
route__wirelength__iter:6,1574207
route__drc_errors__iter:7,1
route__wirelength__iter:7,1574160
route__drc_errors__iter:8,1
route__wirelength__iter:8,1574161
route__drc_errors__iter:9,1
route__wirelength__iter:9,1574160
route__drc_errors__iter:10,1
route__wirelength__iter:10,1574160
route__drc_errors__iter:11,0
route__wirelength__iter:11,1574169
route__drc_errors,0
route__wirelength,1574169
route__vias,64401
route__vias__singlecut,64401
route__vias__multicut,0
design__disconnected_pin__count,154
design__critical_disconnected_pin__count,0
route__wirelength__max,9184.6
timing__unannotated_net__count__corner:nom_tt_025C_1v80,217
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,217
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,217
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,112
design__max_fanout_violation__count__corner:min_tt_025C_1v80,169
design__max_cap_violation__count__corner:min_tt_025C_1v80,9
clock__skew__worst_hold__corner:min_tt_025C_1v80,-1.1003580580377985
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.8044763416462765
